dex,id,sp_atk,sp_def
1,BULBASAUR,65,65
2,IVYSAUR,80,80
3,VENUSAUR,100,100
4,CHARMANDER,60,50
5,CHARMELEON,80,65
6,CHARIZARD,109,85
7,SQUIRTLE,50,64
8,WARTORTLE,65,80
9,BLASTOISE,85,105
10,CATERPIE,20,20
11,METAPOD,25,25
12,BUTTERFREE,80,80
13,WEEDLE,20,20
14,KAKUNA,25,25
15,BEEDRILL,45,80
16,PIDGEY,35,35
17,PIDGEOTTO,50,50
18,PIDGEOT,70,70
19,RATTATA,25,35
20,RATICATE,50,70
21,SPEAROW,31,31
22,FEAROW,61,61
23,EKANS,40,54
24,ARBOK,65,79
25,PIKACHU,50,40
26,RAICHU,90,80
27,SANDSHREW,20,30
28,SANDSLASH,45,55
29,NIDORAN_F,40,40
30,NIDORINA,55,55
31,NIDOQUEEN,75,85
32,NIDORAN_M,40,40
33,NIDORINO,55,55
34,NIDOKING,85,75
35,CLEFAIRY,60,65
36,CLEFABLE,85,90
37,VULPIX,50,65
38,NINETALES,81,100
39,JIGGLYPUFF,45,25
40,WIGGLYTUFF,75,50
41,ZUBAT,30,40
42,GOLBAT,65,75
43,ODDISH,75,65
44,GLOOM,85,75
45,VILEPLUME,100,90
46,PARAS,45,55
47,PARASECT,60,80
48,VENONAT,40,55
49,VENOMOTH,90,75
50,DIGLETT,35,45
51,DUGTRIO,50,70
52,MEOWTH,40,40
53,PERSIAN,65,65
54,PSYDUCK,65,50
55,GOLDUCK,95,80
56,MANKEY,35,45
57,PRIMEAPE,60,70
58,GROWLITHE,70,50
59,ARCANINE,100,80
60,POLIWAG,40,40
61,POLIWHIRL,50,50
62,POLIWRATH,70,90
63,ABRA,105,55
64,KADABRA,120,70
65,ALAKAZAM,135,85
66,MACHOP,35,35
67,MACHOKE,50,60
68,MACHAMP,65,85
69,BELLSPROUT,70,30
70,WEEPINBELL,85,45
71,VICTREEBEL,100,60
72,TENTACOOL,50,100
73,TENTACRUEL,80,120
74,GEODUDE,30,30
75,GRAVELER,45,45
76,GOLEM,55,65
77,PONYTA,65,65
78,RAPIDASH,80,80
79,SLOWPOKE,40,40
80,SLOWBRO,100,80
81,MAGNEMITE,95,55
82,MAGNETON,120,70
83,FARFETCH_D,58,62
84,DODUO,35,35
85,DODRIO,60,60
86,SEEL,45,70
87,DEWGONG,70,95
88,GRIMER,40,50
89,MUK,65,100
90,SHELLDER,45,25
91,CLOYSTER,85,45
92,GASTLY,100,35
93,HAUNTER,115,55
94,GENGAR,130,75
95,ONIX,30,45
96,DROWZEE,43,90
97,HYPNO,73,115
98,KRABBY,25,25
99,KINGLER,50,50
100,VOLTORB,55,55
101,ELECTRODE,80,80
102,EXEGGCUTE,60,45
103,EXEGGUTOR,125,65
104,CUBONE,40,50
105,MAROWAK,50,80
106,HITMONLEE,35,110
107,HITMONCHAN,35,110
108,LICKITUNG,60,75
109,KOFFING,60,45
110,WEEZING,85,70
111,RHYHORN,30,30
112,RHYDON,45,45
113,CHANSEY,35,105
114,TANGELA,100,40
115,KANGASKHAN,40,80
116,HORSEA,70,25
117,SEADRA,95,45
118,GOLDEEN,35,50
119,SEAKING,65,80
120,STARYU,70,55
121,STARMIE,100,85
122,MR_MIME,100,120
123,SCYTHER,55,80
124,JYNX,115,95
125,ELECTABUZZ,95,85
126,MAGMAR,100,85
127,PINSIR,55,70
128,TAUROS,40,70
129,MAGIKARP,15,20
130,GYARADOS,60,100
131,LAPRAS,85,95
132,DITTO,48,48
133,EEVEE,45,65
134,VAPOREON,110,95
135,JOLTEON,110,95
136,FLAREON,95,110
137,PORYGON,85,75
138,OMANYTE,90,55
139,OMASTAR,115,70
140,KABUTO,55,45
141,KABUTOPS,65,70
142,AERODACTYL,60,75
143,SNORLAX,65,110
144,ARTICUNO,95,125
145,ZAPDOS,125,90
146,MOLTRES,125,85
147,DRATINI,50,50
148,DRAGONAIR,70,70
149,DRAGONITE,100,100
150,MEWTWO,154,90
151,MEW,100,100
152,CHIKORITA,49,65
153,BAYLEEF,63,80
154,MEGANIUM,83,100
155,CYNDAQUIL,60,50
156,QUILAVA,80,65
157,TYPHLOSION,109,85
158,TOTODILE,44,48
159,CROCONAW,59,63
160,FERALIGATR,79,83
161,SENTRET,35,45
162,FURRET,45,55
163,HOOTHOOT,36,56
164,NOCTOWL,76,96
165,LEDYBA,40,80
166,LEDIAN,55,110
167,SPINARAK,40,40
168,ARIADOS,60,60
169,CROBAT,70,80
170,CHINCHOU,56,56
171,LANTURN,76,76
172,PICHU,35,35
173,CLEFFA,45,55
174,IGGLYBUFF,40,20
175,TOGEPI,40,65
176,TOGETIC,80,105
177,NATU,70,45
178,XATU,95,70
179,MAREEP,65,45
180,FLAAFFY,80,60
181,AMPHAROS,115,90
182,BELLOSSOM,90,100
183,MARILL,20,50
184,AZUMARILL,50,80
185,SUDOWOODO,30,65
186,POLITOED,90,100
187,HOPPIP,35,55
188,SKIPLOOM,45,65
189,JUMPLUFF,55,85
190,AIPOM,40,55
191,SUNKERN,30,30
192,SUNFLORA,105,85
193,YANMA,75,45
194,WOOPER,25,25
195,QUAGSIRE,65,65
196,ESPEON,130,95
197,UMBREON,60,130
198,MURKROW,85,42
199,SLOWKING,100,110
200,MISDREAVUS,85,85
201,UNOWN,72,48
202,WOBBUFFET,33,58
203,GIRAFARIG,90,65
204,PINECO,35,35
205,FORRETRESS,60,60
206,DUNSPARCE,65,65
207,GLIGAR,35,65
208,STEELIX,55,65
209,SNUBBULL,40,40
210,GRANBULL,60,60
211,QWILFISH,55,55
212,SCIZOR,55,80
213,SHUCKLE,10,230
214,HERACROSS,40,95
215,SNEASEL,35,75
216,TEDDIURSA,50,50
217,URSARING,75,75
218,SLUGMA,70,40
219,MAGCARGO,80,80
220,SWINUB,30,30
221,PILOSWINE,60,60
222,CORSOLA,65,85
223,REMORAID,65,35
224,OCTILLERY,105,75
225,DELIBIRD,65,45
226,MANTINE,80,140
