index,identifier,category
1,pound,physical
2,karate-chop,physical
3,double-slap,physical
4,comet-punch,physical
5,mega-punch,physical
6,pay-day,physical
7,fire-punch,physical
8,ice-punch,physical
9,thunder-punch,physical
10,scratch,physical
11,vice-grip,physical
12,guillotine,physical
13,razor-wind,special
14,swords-dance,status
15,cut,physical
16,gust,special
17,wing-attack,physical
18,whirlwind,status
19,fly,physical
20,bind,physical
21,slam,physical
22,vine-whip,physical
23,stomp,physical
24,double-kick,physical
25,mega-kick,physical
26,jump-kick,physical
27,rolling-kick,physical
28,sand-attack,status
29,headbutt,physical
30,horn-attack,physical
31,fury-attack,physical
32,horn-drill,physical
33,tackle,physical
34,body-slam,physical
35,wrap,physical
36,take-down,physical
37,thrash,physical
38,double-edge,physical
39,tail-whip,status
40,poison-sting,physical
41,twineedle,physical
42,pin-missile,physical
43,leer,status
44,bite,physical
45,growl,status
46,roar,status
47,sing,status
48,supersonic,status
49,sonic-boom,special
50,disable,status
51,acid,special
52,ember,special
53,flamethrower,special
54,mist,status
55,water-gun,special
56,hydro-pump,special
57,surf,special
58,ice-beam,special
59,blizzard,special
60,psybeam,special
61,bubble-beam,special
62,aurora-beam,special
63,hyper-beam,special
64,peck,physical
65,drill-peck,physical
66,submission,physical
67,low-kick,physical
68,counter,physical
69,seismic-toss,physical
70,strength,physical
71,absorb,special
72,mega-drain,special
73,leech-seed,status
74,growth,status
75,razor-leaf,physical
76,solar-beam,special
77,poison-powder,status
78,stun-spore,status
79,sleep-powder,status
80,petal-dance,special
81,string-shot,status
82,dragon-rage,special
83,fire-spin,special
84,thunder-shock,special
85,thunderbolt,special
86,thunder-wave,status
87,thunder,special
88,rock-throw,physical
89,earthquake,physical
90,fissure,physical
91,dig,physical
92,toxic,status
93,confusion,special
94,psychic,special
95,hypnosis,status
96,meditate,status
97,agility,status
98,quick-attack,physical
99,rage,physical
100,teleport,status
101,night-shade,special
102,mimic,status
103,screech,status
104,double-team,status
105,recover,status
106,harden,status
107,minimize,status
108,smokescreen,status
109,confuse-ray,status
110,withdraw,status
111,defense-curl,status
112,barrier,status
113,light-screen,status
114,haze,status
115,reflect,status
116,focus-energy,status
117,bide,physical
118,metronome,status
119,mirror-move,status
120,self-destruct,physical
121,egg-bomb,physical
122,lick,physical
123,smog,special
124,sludge,special
125,bone-club,physical
126,fire-blast,special
127,waterfall,physical
128,clamp,physical
129,swift,special
130,skull-bash,physical
131,spike-cannon,physical
132,constrict,physical
133,amnesia,status
134,kinesis,status
135,soft-boiled,status
136,high-jump-kick,physical
137,glare,status
138,dream-eater,special
139,poison-gas,status
140,barrage,physical
141,leech-life,physical
142,lovely-kiss,status
143,sky-attack,physical
144,transform,status
145,bubble,special
146,dizzy-punch,physical
147,spore,status
148,flash,status
149,psywave,special
150,splash,status
151,acid-armor,status
152,crabhammer,physical
153,explosion,physical
154,fury-swipes,physical
155,bonemerang,physical
156,rest,status
157,rock-slide,physical
158,hyper-fang,physical
159,sharpen,status
160,conversion,status
161,tri-attack,special
162,super-fang,physical
163,slash,physical
164,substitute,status
165,struggle,physical
166,sketch,status
167,triple-kick,physical
168,thief,physical
169,spider-web,status
170,mind-reader,status
171,nightmare,status
172,flame-wheel,physical
173,snore,special
174,curse,status
175,flail,physical
176,conversion-2,status
177,aeroblast,special
178,cotton-spore,status
179,reversal,physical
180,spite,status
181,powder-snow,special
182,protect,status
183,mach-punch,physical
184,scary-face,status
185,feint-attack,physical
186,sweet-kiss,status
187,belly-drum,status
188,sludge-bomb,special
189,mud-slap,special
190,octazooka,special
191,spikes,status
192,zap-cannon,special
193,foresight,status
194,destiny-bond,status
195,perish-song,status
196,icy-wind,special
197,detect,status
198,bone-rush,physical
199,lock-on,status
200,outrage,physical
201,sandstorm,status
202,giga-drain,special
203,endure,status
204,charm,status
205,rollout,physical
206,false-swipe,physical
207,swagger,status
208,milk-drink,status
209,spark,physical
210,fury-cutter,physical
211,steel-wing,physical
212,mean-look,status
213,attract,status
214,sleep-talk,status
215,heal-bell,status
216,return,physical
217,present,physical
218,frustration,physical
219,safeguard,status
220,pain-split,status
221,sacred-fire,physical
222,magnitude,physical
223,dynamic-punch,physical
224,megahorn,physical
225,dragon-breath,special
226,baton-pass,status
227,encore,status
228,pursuit,physical
229,rapid-spin,physical
230,sweet-scent,status
231,iron-tail,physical
232,metal-claw,physical
233,vital-throw,physical
234,morning-sun,status
235,synthesis,status
236,moonlight,status
237,hidden-power,special
238,cross-chop,physical
239,twister,special
240,rain-dance,status
241,sunny-day,status
242,crunch,physical
243,mirror-coat,special
244,psych-up,status
245,extreme-speed,physical
246,ancient-power,special
247,shadow-ball,special
248,future-sight,special
249,rock-smash,physical
250,whirlpool,special
251,beat-up,physical
