index,identifier,gen1_type,gen1_category_model,gen4_category,gen5_category,gen6_category,gen7_category,gen8_category,gen9_category,modern_differs_from_gen1,note
1,pound,normal,physical,physical,physical,physical,physical,physical,physical,no,
2,karate-chop,normal,physical,physical,physical,physical,physical,physical,physical,no,elemental type changed after Gen I: normal -> fighting
3,double-slap,normal,physical,physical,physical,physical,physical,physical,physical,no,
4,comet-punch,normal,physical,physical,physical,physical,physical,physical,physical,no,
5,mega-punch,normal,physical,physical,physical,physical,physical,physical,physical,no,
6,pay-day,normal,physical,physical,physical,physical,physical,physical,physical,no,
7,fire-punch,fire,special,physical,physical,physical,physical,physical,physical,yes,
8,ice-punch,ice,special,physical,physical,physical,physical,physical,physical,yes,
9,thunder-punch,electric,special,physical,physical,physical,physical,physical,physical,yes,
10,scratch,normal,physical,physical,physical,physical,physical,physical,physical,no,
11,vice-grip,normal,physical,physical,physical,physical,physical,physical,physical,no,
12,guillotine,normal,physical,physical,physical,physical,physical,physical,physical,no,
13,razor-wind,normal,physical,special,special,special,special,special,special,yes,
14,swords-dance,normal,status,status,status,status,status,status,status,no,
15,cut,normal,physical,physical,physical,physical,physical,physical,physical,no,
16,gust,normal,physical,special,special,special,special,special,special,yes,elemental type changed after Gen I: normal -> flying
17,wing-attack,flying,physical,physical,physical,physical,physical,physical,physical,no,
18,whirlwind,normal,status,status,status,status,status,status,status,no,
19,fly,flying,physical,physical,physical,physical,physical,physical,physical,no,
20,bind,normal,physical,physical,physical,physical,physical,physical,physical,no,
21,slam,normal,physical,physical,physical,physical,physical,physical,physical,no,
22,vine-whip,grass,special,physical,physical,physical,physical,physical,physical,yes,
23,stomp,normal,physical,physical,physical,physical,physical,physical,physical,no,
24,double-kick,fighting,physical,physical,physical,physical,physical,physical,physical,no,
25,mega-kick,normal,physical,physical,physical,physical,physical,physical,physical,no,
26,jump-kick,fighting,physical,physical,physical,physical,physical,physical,physical,no,
27,rolling-kick,fighting,physical,physical,physical,physical,physical,physical,physical,no,
28,sand-attack,normal,status,status,status,status,status,status,status,no,elemental type changed after Gen I: normal -> ground
29,headbutt,normal,physical,physical,physical,physical,physical,physical,physical,no,
30,horn-attack,normal,physical,physical,physical,physical,physical,physical,physical,no,
31,fury-attack,normal,physical,physical,physical,physical,physical,physical,physical,no,
32,horn-drill,normal,physical,physical,physical,physical,physical,physical,physical,no,
33,tackle,normal,physical,physical,physical,physical,physical,physical,physical,no,
34,body-slam,normal,physical,physical,physical,physical,physical,physical,physical,no,
35,wrap,normal,physical,physical,physical,physical,physical,physical,physical,no,
36,take-down,normal,physical,physical,physical,physical,physical,physical,physical,no,
37,thrash,normal,physical,physical,physical,physical,physical,physical,physical,no,
38,double-edge,normal,physical,physical,physical,physical,physical,physical,physical,no,
39,tail-whip,normal,status,status,status,status,status,status,status,no,
40,poison-sting,poison,physical,physical,physical,physical,physical,physical,physical,no,
41,twineedle,bug,physical,physical,physical,physical,physical,physical,physical,no,
42,pin-missile,bug,physical,physical,physical,physical,physical,physical,physical,no,
43,leer,normal,status,status,status,status,status,status,status,no,
44,bite,normal,physical,physical,physical,physical,physical,physical,physical,no,elemental type changed after Gen I: normal -> dark
45,growl,normal,status,status,status,status,status,status,status,no,
46,roar,normal,status,status,status,status,status,status,status,no,
47,sing,normal,status,status,status,status,status,status,status,no,
48,supersonic,normal,status,status,status,status,status,status,status,no,
49,sonic-boom,normal,physical,special,special,special,special,special,special,yes,fixed/special damage bypasses ordinary Attack/Defense operands in Gen1Recomp
50,disable,normal,status,status,status,status,status,status,status,no,
51,acid,poison,physical,special,special,special,special,special,special,yes,
52,ember,fire,special,special,special,special,special,special,special,no,
53,flamethrower,fire,special,special,special,special,special,special,special,no,
54,mist,ice,status,status,status,status,status,status,status,no,
55,water-gun,water,special,special,special,special,special,special,special,no,
56,hydro-pump,water,special,special,special,special,special,special,special,no,
57,surf,water,special,special,special,special,special,special,special,no,
58,ice-beam,ice,special,special,special,special,special,special,special,no,
59,blizzard,ice,special,special,special,special,special,special,special,no,
60,psybeam,psychic,special,special,special,special,special,special,special,no,
61,bubble-beam,water,special,special,special,special,special,special,special,no,
62,aurora-beam,ice,special,special,special,special,special,special,special,no,
63,hyper-beam,normal,physical,special,special,special,special,special,special,yes,
64,peck,flying,physical,physical,physical,physical,physical,physical,physical,no,
65,drill-peck,flying,physical,physical,physical,physical,physical,physical,physical,no,
66,submission,fighting,physical,physical,physical,physical,physical,physical,physical,no,
67,low-kick,fighting,physical,physical,physical,physical,physical,physical,physical,no,
68,counter,fighting,physical,physical,physical,physical,physical,physical,physical,no,
69,seismic-toss,fighting,physical,physical,physical,physical,physical,physical,physical,no,fixed/special damage bypasses ordinary Attack/Defense operands in Gen1Recomp
70,strength,normal,physical,physical,physical,physical,physical,physical,physical,no,
71,absorb,grass,special,special,special,special,special,special,special,no,
72,mega-drain,grass,special,special,special,special,special,special,special,no,
73,leech-seed,grass,status,status,status,status,status,status,status,no,
74,growth,normal,status,status,status,status,status,status,status,no,
75,razor-leaf,grass,special,physical,physical,physical,physical,physical,physical,yes,
76,solar-beam,grass,special,special,special,special,special,special,special,no,
77,poison-powder,poison,status,status,status,status,status,status,status,no,
78,stun-spore,grass,status,status,status,status,status,status,status,no,
79,sleep-powder,grass,status,status,status,status,status,status,status,no,
80,petal-dance,grass,special,special,special,special,special,special,special,no,
81,string-shot,bug,status,status,status,status,status,status,status,no,
82,dragon-rage,dragon,special,special,special,special,special,special,special,no,fixed/special damage bypasses ordinary Attack/Defense operands in Gen1Recomp
83,fire-spin,fire,special,special,special,special,special,special,special,no,
84,thunder-shock,electric,special,special,special,special,special,special,special,no,
85,thunderbolt,electric,special,special,special,special,special,special,special,no,
86,thunder-wave,electric,status,status,status,status,status,status,status,no,
87,thunder,electric,special,special,special,special,special,special,special,no,
88,rock-throw,rock,physical,physical,physical,physical,physical,physical,physical,no,
89,earthquake,ground,physical,physical,physical,physical,physical,physical,physical,no,
90,fissure,ground,physical,physical,physical,physical,physical,physical,physical,no,
91,dig,ground,physical,physical,physical,physical,physical,physical,physical,no,
92,toxic,poison,status,status,status,status,status,status,status,no,
93,confusion,psychic,special,special,special,special,special,special,special,no,
94,psychic,psychic,special,special,special,special,special,special,special,no,
95,hypnosis,psychic,status,status,status,status,status,status,status,no,
96,meditate,psychic,status,status,status,status,status,status,status,no,
97,agility,psychic,status,status,status,status,status,status,status,no,
98,quick-attack,normal,physical,physical,physical,physical,physical,physical,physical,no,
99,rage,normal,physical,physical,physical,physical,physical,physical,physical,no,
100,teleport,psychic,status,status,status,status,status,status,status,no,
