move_id,identifier,changed_in_version_group_id,version_group,generation,field,before,after
14,swords-dance,15,x-y,6,pp,30,20
18,whirlwind,15,x-y,6,accuracy,100,
19,fly,8,diamond-pearl,4,power,70,90
20,bind,11,black-white,5,accuracy,75,85
22,vine-whip,15,x-y,6,power,35,45
22,vine-whip,8,diamond-pearl,4,pp,10,15
22,vine-whip,15,x-y,6,pp,15,25
26,jump-kick,8,diamond-pearl,4,power,70,85
26,jump-kick,11,black-white,5,power,85,100
26,jump-kick,11,black-white,5,pp,25,10
33,tackle,11,black-white,5,accuracy,95,100
33,tackle,11,black-white,5,power,35,50
33,tackle,17,sun-moon,7,power,50,40
35,wrap,11,black-white,5,accuracy,85,90
37,thrash,11,black-white,5,power,90,120
37,thrash,11,black-white,5,pp,20,10
42,pin-missile,15,x-y,6,accuracy,85,95
42,pin-missile,15,x-y,6,power,14,25
46,roar,15,x-y,6,accuracy,100,
50,disable,8,diamond-pearl,4,accuracy,55,80
50,disable,11,black-white,5,accuracy,80,100
53,flamethrower,15,x-y,6,power,95,90
56,hydro-pump,15,x-y,6,power,120,110
57,surf,15,x-y,6,power,95,90
58,ice-beam,15,x-y,6,power,95,90
59,blizzard,15,x-y,6,power,120,110
66,submission,15,x-y,6,pp,25,20
71,absorb,19,lets-go-pikachu-lets-go-eevee,7,power,20,40
71,absorb,20,sword-shield,8,power,40,20
71,absorb,8,diamond-pearl,4,pp,20,25
71,absorb,19,lets-go-pikachu-lets-go-eevee,7,pp,25,15
71,absorb,20,sword-shield,8,pp,15,25
72,mega-drain,19,lets-go-pikachu-lets-go-eevee,7,power,40,75
72,mega-drain,20,sword-shield,8,power,75,40
72,mega-drain,8,diamond-pearl,4,pp,10,15
72,mega-drain,19,lets-go-pikachu-lets-go-eevee,7,pp,15,10
72,mega-drain,20,sword-shield,8,pp,10,15
74,growth,11,black-white,5,effect_id,14,317
74,growth,15,x-y,6,pp,40,20
76,solar-beam,19,lets-go-pikachu-lets-go-eevee,7,power,120,200
76,solar-beam,20,sword-shield,8,power,200,120
80,petal-dance,8,diamond-pearl,4,power,70,90
80,petal-dance,11,black-white,5,power,90,120
80,petal-dance,11,black-white,5,pp,20,10
81,string-shot,17,sun-moon,7,effect_id,21,61
83,fire-spin,11,black-white,5,accuracy,70,85
83,fire-spin,11,black-white,5,power,15,35
85,thunderbolt,15,x-y,6,power,95,90
86,thunder-wave,17,sun-moon,7,accuracy,100,90
87,thunder,15,x-y,6,power,120,110
91,dig,8,diamond-pearl,4,power,60,80
92,toxic,11,black-white,5,accuracy,85,90
95,hypnosis,8,diamond-pearl,4,accuracy,60,70
95,hypnosis,9,platinum,4,accuracy,70,60
100,teleport,19,lets-go-pikachu-lets-go-eevee,7,priority,0,-6
105,recover,8,diamond-pearl,4,pp,20,5
107,minimize,15,x-y,6,pp,20,10
112,barrier,15,x-y,6,pp,30,20
122,lick,15,x-y,6,power,20,30
123,smog,15,x-y,6,power,20,30
126,fire-blast,15,x-y,6,power,120,110
128,clamp,11,black-white,5,accuracy,75,85
128,clamp,11,black-white,5,pp,10,15
130,skull-bash,15,x-y,6,power,100,130
130,skull-bash,15,x-y,6,pp,15,10
136,high-jump-kick,8,diamond-pearl,4,power,85,100
136,high-jump-kick,11,black-white,5,power,100,130
136,high-jump-kick,11,black-white,5,pp,20,10
137,glare,11,black-white,5,accuracy,75,90
137,glare,15,x-y,6,accuracy,90,100
139,poison-gas,11,black-white,5,accuracy,55,80
139,poison-gas,15,x-y,6,accuracy,80,90
141,leech-life,17,sun-moon,7,power,20,80
141,leech-life,17,sun-moon,7,pp,15,10
143,sky-attack,19,lets-go-pikachu-lets-go-eevee,7,power,140,200
143,sky-attack,20,sword-shield,8,power,200,140
145,bubble,15,x-y,6,power,20,40
148,flash,8,diamond-pearl,4,accuracy,70,100
149,psywave,15,x-y,6,accuracy,80,100
151,acid-armor,15,x-y,6,pp,40,20
152,crabhammer,11,black-white,5,accuracy,85,90
152,crabhammer,15,x-y,6,power,90,100
165,struggle,15,x-y,6,target_id,10,8
